    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000 16.3251217952  48.6389681641 0.0000000000 0.6172328936 -0.0793744315 0.0000000000 15.7078889016  48.7183425956 0.0000000000 
 0.0106000000 -9.0968638056 -29.2695144835 0.0000000000 0.3347086645 -0.0714639207 0.0000000000 -9.4315724700 -29.1980505628 0.0000000000 
 0.3857841460  0.1538596243   0.4373761393 0.0000000000 0.0606384440 -0.0038785298 0.0000000000  0.0932211803   0.4412546691 0.0000000000 
 0.3879335082  0.1615815473   0.4565692198 0.0000000000 0.0606003800 -0.0039150412 0.0000000000  0.1009811673   0.4604842609 0.0000000000 
 0.3900830404  0.1689873833   0.4823449030 0.0000000000 0.0605142098 -0.0038234708 0.0000000000  0.1084731735   0.4861683739 0.0000000000 
 0.3922312697  0.1315470842   0.4501693173 0.0000000000 0.0598764840 -0.0036088560 0.0000000000  0.0716706002   0.4537781733 0.0000000000 
 0.3943773384  0.0886954115   0.3832710083 0.0000000000 0.0588907455 -0.0034235862 0.0000000000  0.0298046660   0.3866945945 0.0000000000 
 0.3965252965  0.1672113556   0.4573872582 0.0000000000 0.0591269897 -0.0034603127 0.0000000000  0.1080843659   0.4608475709 0.0000000000 
 0.3986734383  0.1480342150   0.4469094879 0.0000000000 0.0590444343 -0.0034364683 0.0000000000  0.0889897807   0.4503459562 0.0000000000 
 0.4008215075  0.1476727610   0.4465693448 0.0000000000 0.0588971224 -0.0034029461 0.0000000000  0.0887756386   0.4499722909 0.0000000000 
 0.4029695176  0.1459843096   0.4423058456 0.0000000000 0.0587403650 -0.0033592065 0.0000000000  0.0872439446   0.4456650521 0.0000000000 
 0.4051171954  0.1461678299   0.4425266705 0.0000000000 0.0585743432 -0.0033191018 0.0000000000  0.0875934867   0.4458457723 0.0000000000 
 0.4072648506  0.1467316190   0.4430311690 0.0000000000 0.0584178982 -0.0032762845 0.0000000000  0.0883137208   0.4463074535 0.0000000000 
 0.4094124170  0.1471066924   0.4444599686 0.0000000000 0.0582646321 -0.0032339600 0.0000000000  0.0888420603   0.4476939286 0.0000000000 
 0.4115598336  0.1474007109   0.4441860814 0.0000000000 0.0581227649 -0.0031963306 0.0000000000  0.0892779460   0.4473824120 0.0000000000 
 0.4137069910  0.1472498670   0.4441722030 0.0000000000 0.0579805986 -0.0031579842 0.0000000000  0.0892692684   0.4473301872 0.0000000000 
 0.4158540056  0.1470477111   0.4441082085 0.0000000000 0.0578284518 -0.0031125846 0.0000000000  0.0892192593   0.4472207931 0.0000000000 
 0.4180007601  0.1478165577   0.4478913219 0.0000000000 0.0576712323 -0.0030683226 0.0000000000  0.0901453254   0.4509596444 0.0000000000 
 0.4201472211  0.1479291130   0.4542461080 0.0000000000 0.0574849861 -0.0030086704 0.0000000000  0.0904441269   0.4572547784 0.0000000000 
 0.4222931863  0.1443224401   0.4511550495 0.0000000000 0.0572711625 -0.0029514524 0.0000000000  0.0870512776   0.4541065018 0.0000000000 
 0.4244387336  0.1565685935   0.4782765353 0.0000000000 0.0571442247 -0.0028983045 0.0000000000  0.0994243688   0.4811748398 0.0000000000 
 0.4265835299  0.1563600021   0.4781141353 0.0000000000 0.0570105226 -0.0028537765 0.0000000000  0.0993494795   0.4809679118 0.0000000000 
 0.4287281615  0.1555854453   0.4767668852 0.0000000000 0.0568735193 -0.0028065054 0.0000000000  0.0987119260   0.4795733906 0.0000000000 
 0.4308722906  0.1289332379   0.4039920050 0.0000000000 0.0566566312 -0.0027793876 0.0000000000  0.0722766068   0.4067713926 0.0000000000 
 0.4330167172  0.1181721705   0.3770237111 0.0000000000 0.0563234012 -0.0027559138 0.0000000000  0.0618487693   0.3797796250 0.0000000000 
 0.4351617235  0.1399498267   0.4151958762 0.0000000000 0.0562948494 -0.0027414137 0.0000000000  0.0836549772   0.4179372899 0.0000000000 
 0.4373061752  0.1398763649   0.4151420960 0.0000000000 0.0562344100 -0.0027223168 0.0000000000  0.0836419549   0.4178644127 0.0000000000 
 0.4394503641  0.1398002815   0.4151397077 0.0000000000 0.0561586074 -0.0027012155 0.0000000000  0.0836416742   0.4178409232 0.0000000000 
 0.4415943470  0.1701283454   0.5377178689 0.0000000000 0.0559826244 -0.0026375341 0.0000000000  0.1141457210   0.5403554030 0.0000000000 
 0.4437370800  0.1147624284   0.3791359243 0.0000000000 0.0556549915 -0.0025788880 0.0000000000  0.0591074369   0.3817148123 0.0000000000 
